"Date","NorthIceAverageExtent","SouthIceAverageExtent","GlobalIceExtent","N-SDiffIceExtent","Trend for Co2 amount"
1998-10-01,8.45187096774194,18.6604516129032,27.1123225806452,-10.2085806451613,367.67
1998-11-01,10.4406,16.3004,26.741,-5.8598,367.56
1998-12-01,12.7586451612903,10.5194838709677,23.2781290322581,2.23916129032258,367.88
1999-01-01,14.3593870967742,4.81587096774194,19.1752580645161,9.54351612903226,367.96
1999-02-01,15.3089285714286,2.966,18.2749285714286,12.3429285714286,368.26
1999-03-01,15.3976774193548,3.97777419354839,19.3754516129032,11.4199032258065,368.08
1999-04-01,15.0839,6.8918,21.9757,8.1921,368.45
1999-05-01,13.7509677419355,10.2653225806452,24.0162903225806,3.48564516129032,368.15
1999-06-01,11.7791666666667,13.6488333333333,25.428,-1.86966666666667,368.13
1999-07-01,9.48829032258065,16.2816129032258,25.7699032258065,-6.79332258064516,368.77
1999-08-01,7.22558064516129,17.9579032258065,25.1834838709677,-10.7323225806452,368.48
1999-09-01,6.11686666666667,18.6963666666667,24.8132333333333,-12.5795,368.13
1999-10-01,8.6028064516129,18.3521612903226,26.9549677419355,-9.74935483870968,368.64
1999-11-01,10.7964666666667,15.9646,26.7610666666667,-5.16813333333333,368.71
1999-12-01,12.6411935483871,10.7220322580645,23.3632258064516,1.91916129032258,368.77
2000-01-01,14.2203548387097,4.74887096774194,18.9692258064516,9.47148387096774,369.08
2000-02-01,15.1414827586207,2.90651724137931,18.048,12.2349655172414,368.83
2000-03-01,15.2248387096774,4.08587096774194,19.3107096774194,11.1389677419355,369.09
2000-04-01,14.5581666666667,7.1323,21.6904666666667,7.42586666666667,369.28
2000-05-01,13.1526774193548,10.9205806451613,24.0732580645161,2.23209677419355,368.71
2000-06-01,11.6652333333333,13.8927,25.5579333333333,-2.22746666666667,369.5
2000-07-01,9.513,16.0977419354839,25.6107419354839,-6.58474193548387,369.2
2000-08-01,7.16832258064516,18.2061290322581,25.3744516129032,-11.0378064516129,369.72
2000-09-01,6.24606666666667,18.8878333333333,25.1339,-12.6417666666667,370.3
2000-10-01,8.37941935483871,18.1305161290323,26.509935483871,-9.75109677419355,370.26
2000-11-01,10.3211,15.7576333333333,26.0787333333333,-5.43653333333333,370.32
2000-12-01,12.6372580645161,9.90970967741936,22.5469677419355,2.72754838709677,370.3
2001-01-01,14.2026129032258,5.23309677419355,19.4357096774194,8.96951612903226,370.43
2001-02-01,15.2111428571429,3.65035714285714,18.8615,11.5607857142857,370.78
2001-03-01,15.5163225806452,4.73145161290323,20.2477741935484,10.7848709677419,370.87
2001-04-01,14.8568333333333,7.04426666666667,21.9011,7.81256666666667,370.81
2001-05-01,13.5096129032258,10.3299032258065,23.8395161290323,3.17970967741935,370.94
2001-06-01,11.4559333333333,13.4180666666667,24.874,-1.96213333333333,370.99
2001-07-01,9.07035483870968,15.8518709677419,24.9222258064516,-6.78151612903226,370.9
2001-08-01,7.4608064516129,17.4227419354839,24.8835483870968,-9.96193548387097,371.22
2001-09-01,6.73216666666667,18.1749666666667,24.9071333333333,-11.4428,371.44
2001-10-01,8.29829032258064,17.726,26.0242903225806,-9.42770967741935,371.69
2001-11-01,10.6578333333333,15.6103,26.2681333333333,-4.95246666666667,371.74
2001-12-01,12.4907419354839,10.3459032258065,22.8366451612903,2.14483870967742,371.92
2002-01-01,14.2726129032258,4.73961290322581,19.0122258064516,9.533,372.3
2002-02-01,15.3423571428571,2.96039285714286,18.30275,12.3819642857143,372.33
2002-03-01,15.3489032258065,3.74825806451613,19.0971612903226,11.6006451612903,372.44
2002-04-01,14.2994333333333,6.32783333333333,20.6272666666667,7.9716,372.37
2002-05-01,12.9706129032258,9.51154838709677,22.4821612903226,3.45906451612903,372.81
2002-06-01,11.5834,12.3757666666667,23.9591666666667,-0.792366666666668,373.3
2002-07-01,9.27416129032258,15.4147096774194,24.6888709677419,-6.14054838709677,373.42
2002-08-01,6.599,17.0666774193548,23.6656774193548,-10.4676774193548,373.52
